Координати,Вид кофа,Брой,Състояние,
42.7138935285447,23.3572106098955,1100,1,,
42.7119170133642,23.358570013563,1100,2,ДОБРО,
42.7144517285696,23.3581071883876,1100,1,,
42.7191624922804,23.3584293461602,1100,1,,
42.7080755819712,23.3570100021272,1100,2,,
42.7081507075757,23.3610875435581,1100,3,,
42.7081143788378,23.3559304640385,1100,2,,
42.7073666427733,23.3604050004903,1100,1,ДОБРО,
42.7080429946879,23.3576979311461,1100,2,,
42.7102852034639,23.3551999211712,1100,1,ДОБРО,
42.7085017385801,23.3592090639934,1100,3,,
42.7130502081065,23.3554979593559,1100,1,,
42.7107403531521,23.3592679941265,1100,2,ДОБРО,
42.7120641970333,23.3553962042391,1100,1,,
42.7130806857184,23.3566471963666,1100,1,ДОБРО,
42.7114198288068,23.3565150463358,1100,1,,
42.7237306261572,23.3555549886167,1100,3,,
42.7235341531962,23.3551420368111,1100,4,,
42.7226643025284,23.3536932716435,1100,1,,
42.7218716946173,23.3538451448701,1100,2,ДОБРО,
42.7112989649918,23.361864073998,1100,1,,
42.7140466013968,23.3873790449408,1100,2,,
42.7130208897665,23.3623281392204,1100,1,,
42.709650962974,23.3591833291751,1100,1,,
42.7125821645791,23.3705773333701,1100,1,ДОБРО,
42.7104024784778,23.3548541437204,1100,2,ДОБРО,
42.7089536604073,23.3534040993048,1100,2,,
42.7127501046975,23.3712681532653,1100,2,ДОБРО,
42.7125090348025,23.3701092802092,1100,1,ДОБРО,
42.7073696615025,23.348096387815,1100,2,,
42.7067721911044,23.3490045743709,1100,1,,
42.7072067970106,23.3490431849304,1100,2,,
42.7076183339479,23.3490949631594,1100,2,,
42.713106077199,23.386510565127,1100,1,,
42.7051851816392,23.3468886355143,1100,4,,
42.7140577240189,23.3866659343973,1100,1,,
42.70380654941,23.3464608369557,1100,2,,
42.7139046180191,23.3886441136555,1100,1,,
42.704317998222,23.3466720739389,1100,2,,
42.6984004468148,23.3753354060899,110,2,,
42.7038399747539,23.3471965553376,1100,2,,
42.7000710567949,23.3751156560845,1100,3,,
42.7026804714354,23.347305977244,1100,2,,
42.7112888825444,23.3886040118518,1100,1,,
42.7066828689309,23.3474548367351,1100,3,,
42.7061435400358,23.3479956802733,1100,1,,
42.6989753267985,23.3724285961506,110,4,,
42.7074008644091,23.347073415347,1100,3,,
42.7104770627223,23.3476552118323,1100,3,,
42.7047547293193,23.3477528751775,1100,3,,
42.6981657868286,23.3786643960179,240,2,,
42.7082579546017,23.346896198724,1100,2,,
42.697963456806,23.3711921561841,1100,3,,
42.7099789010415,23.3475031130314,1100,2,,
42.7095995669796,23.3464741184967,1100,2,,
42.7102877209667,23.3831971811967,1100,3,,
42.7060541189226,23.3858661847078,1100,2,ДОБРО,
42.7033902835077,23.3494108500955,1100,2,,
42.7103292376283,23.3828105280546,1100,2,,
42.7032417866467,23.3501216405019,1100,1,,
42.7053972976098,23.3498156941931,1100,2,,
42.6977657368339,23.3788690860158,1100,2,,
42.7049222934491,23.3497650387059,1100,2,,
42.6977552668333,23.37867911602,110,2,,
42.7042650256348,23.3496388525983,1100,2,,
42.6980873368296,23.3786831160179,110,1,,
42.7037618577897,23.3495610106676,1100,2,,
42.7057180123378,23.3488185915967,1100,3,,
42.6985836968233,23.3785316260182,110,2,,
